ISO3,Long,Lat,Zoom
TCD,18.666726,15.365037,4
TGO,0.976783,8.529157,4
THA,101.019634,15.125913,4
TJK,71.037744,38.527508,4
TKL,-171.851551,-9.186132,4
TKM,59.384146,39.114195,4
TLS,125.850698,-8.820983,4
TON,-174.929965,-20.050734,4
TTO,-61.254774,10.468847,4
TUN,9.577832,34.11972,4
TUR,35.172635,39.061543,4
TUV,178.681593,-7.475875,4
TZA,34.824961,-6.265612,4
UGA,32.388378,1.281055,4
UKR,31.40351,49.003889,4
UMI,-162.571495,6.385258,4
URY,-56.013155,-32.802222,4
USA,-101.242182,39.266717,3
UZB,63.159388,41.764677,4
VCT,-61.219423,13.1593,4
VEN,-66.152134,7.127108,4
VGB,-64.575661,18.444791,4
VIR,-64.79214,17.959318,4
VNM,106.30491,16.641708,4
VUT,167.700928,-16.201299,4
WLF,-177.151849,-13.80342,4
WSM,-172.168899,-13.737356,4
YEM,47.595411,15.904789,4
ZAF,25.093618,-29.003785,4
ZMB,27.7942,-13.457549,4
ZWE,29.869047,-19.000395,4
SHA,121.59,31.19,5
HKN,114.22,22.32,5
E27,4.663325,50.640859,4
